anumber	ost	nord	state_of
09919010	684622.000	302200.000	2006
10089010	629533.220	296959.910	2006
10113040	679431.490	291257.350	2006
10116020	685300.130	295869.550	2006
10117210	686243.500	290996.980	2006
10118160	689268.400	294378.020	2006
10119010	670000.000	298000.000	2006
10121030	693203.230	293073.050	2006
10123040	696192.030	290330.010	2006
10126000	703438.390	291349.100	2006
10129010	694000.000	297000.000	2006
10129020	702000.000	291000.000	2006
10129030	703438.390	290849.100	2006
10310040	672772.820	283752.170	2006
10310090	673986.170	280044.620	2006
10310110	668867.960	279911.980	2006
10313660	679564.540	285250.300	2006
10315050	683463.580	288514.380	2006
10316160	684934.280	285303.420	2006
10317370	686323.840	281001.820	2006
10317410	687670.240	280462.470	2006
10317450	687723.300	278338.920	2006
10318191	688683.600	285015.290	2006
10318401	689722.470	282872.060	2006
10318421	688289.710	282575.540	2006
10318600	689614.540	281367.670	2006
10318780	689414.660	279262.640	2006
10320430	690774.330	283285.940	2006
10320480	691564.650	282812.490	2006
10320500	691300.099	288150.446	2006
10320540	690740.860	282487.260	2006
10320660	690785.510	279256.410	2006
10321230	693420.450	285358.360	2006
10321260	692175.390	283900.230	2006
10321330	692416.510	282068.800	2006
10321430	693790.650	278989.480	2006
10322160	695613.570	287184.910	2006
10322280	695538.740	283633.120	2006
10322310	694053.180	283401.060	2006
10322330	694504.090	281329.750	2006
10323140	696676.630	283687.540	2006
10323290	697199.830	280409.010	2006
10324050	699229.090	283176.620	2006
10324070	698706.190	282643.990	2006
10324201	699370.140	279928.620	2006
10324240	699522.420	278205.650	2006
10325120	700292.590	285473.930	2006
10325190	701155.380	281342.870	2006
10325240	701209.280	279356.070	2006
10326030	702852.350	287458.870	2006
10326210	703920.230	284681.230	2006
10326310	702298.680	282131.260	2006
10326320	703456.730	282038.080	2006
10326360	702959.020	281205.060	2006
10327260	705767.250	280641.470	2006
10327330	704835.130	278962.410	2006
10328260	706148.910	278804.890	2006
10329010	695900.000	283070.000	2006
10329020	696870.000	283330.000	2006
10329030	699000.000	285500.000	2006
10329510	695900.000	283060.000	2006
10329520	696870.000	283320.000	2006
10330020	707637.540	283679.960	2006
10330031	707793.870	280813.720	2006
10330070	707740.810	279508.790	2006
10330100	707824.800	278482.160	2006
10331020	710114.840	279855.700	2006
10332029	712214.040	279961.750	2006
10333030	714115.480	279656.020	2006
10334029	716894.840	284000.050	2006
10334030	715228.890	282235.880	2006
10334050	715864.060	280917.550	2006
10334140	715907.790	279139.480	2006
10335020	718946.820	281614.770	2006
10336140	719089.950	279177.130	2006
10337018	722265.020	283540.370	2006
10337050	721587.010	281267.920	2006
10338011	723673.484	281814.485	2006
10338180	723872.370	278817.000	2006
10339010	708000.000	284500.000	2006
10341019	728212.280	283825.870	2006
10341040	727396.200	280632.120	2006
10342000	729348.530	278156.590	2006
10342029	730993.970	281467.950	2006
10342050	729233.920	280547.250	2006
10343030	732232.460	278914.120	2006
10344018	733163.820	280967.480	2006
10348010	743521.260	281485.080	2006
10349010	731609.340	282204.300	2006
10349100	738000.000	281000.000	2006
10449010	565000.000	269000.000	2006
10473130	608158.718	267876.380	2006
10473276	609183.390	267662.220	2006
10473300	609425.694	269427.700	2006
10473400	608939.843	266136.086	2006
10473510	608623.394	270132.325	2006
10474500	611604.223	270627.705	2006
10474510	611188.453	271074.946	2006
10474520	610690.901	269520.142	2006
10474530	611833.312	269743.324	2006
10474540	611188.685	267198.304	2006
10474600	610798.621	268602.498	2006
10474700	611808.729	267220.597	2006
10474800	610715.617	266274.619	2006
10475130	613968.161	268683.399	2006
10475206	613840.280	267426.940	2006
10475400	612385.857	269006.978	2006
10475500	613551.854	266321.200	2006
10475510	612606.478	270680.733	2006
10475520	612633.585	269864.844	2006
10475530	613549.579	269542.364	2006
10475540	613279.731	267388.088	2006
10476050	615308.581	270510.797	2006
10476320	615391.600	266697.780	2006
10476370	615072.206	272444.586	2006
10476400	615979.037	271524.253	2006
10476500	615106.897	268362.089	2006
10476510	615998.293	271827.623	2006
10476520	614587.414	270801.945	2006
10476530	614547.249	269239.632	2006
10476540	614889.683	267915.721	2006
10476550	615795.695	267427.212	2006
10477000	617306.300	268507.300	2006
10477110	616934.826	269811.065	2006
10477300	617924.477	271177.211	2006
10477510	617598.844	271540.667	2006
10477520	617074.003	271243.618	2006
10477530	616278.999	270877.984	2006
10477540	617310.873	270627.400	2006
10477550	616150.296	269076.241	2006
10477560	616580.255	268524.446	2006
10477570	617679.805	268122.115	2006
10477580	617033.597	267720.651	2006
10478510	618319.407	272529.054	2006
10478520	619901.577	272356.982	2006
10478530	619003.049	272035.345	2006
10478540	618498.594	271350.777	2006
10478550	618212.622	269887.836	2006
10478560	618739.729	269510.277	2006
10478570	618505.056	268985.910	2006
10478580	619731.718	268753.551	2006
10478590	619108.342	266952.978	2006
10483031	627551.590	268628.940	2006
10484011	628650.160	271071.130	2006
10485071	630506.120	269264.770	2006
10485291	630108.840	267503.180	2006
10486200	632289.540	267091.750	2006
10487011	634426.090	271438.930	2006
10487181	635353.390	268310.040	2006
10490010	637726.520	274919.850	2006
10490077	638745.000	266077.100	2006
10491071	640798.780	267182.540	2006
10492010	642313.740	302718.360	2006
10493057	644914.390	266480.890	2006
10494000	646839.170	268057.580	2006
10495120	647592.310	266276.650	2006
10496121	649208.100	267516.810	2006
10497061	650924.090	270156.660	2006
10497172	651655.750	268439.740	2006
10497221	652558.950	267432.820	2006
10498022	654304.780	271550.990	2006
10498101	654889.080	270492.340	2006
10498141	653179.480	269396.110	2006
10498321	653463.970	266331.020	2006
10499000	648415.650	271813.850	2006
10499010	648374.590	267508.590	2006
10500010	656111.980	276691.860	2006
10500041	656908.910	272710.310	2006
10500311	655133.550	267535.220	2006
10501240	657097.500	271104.850	2006
10502201	659463.110	270639.070	2006
10502301	659058.660	267995.640	2006
10503071	661238.400	272762.680	2006
10503271	662881.870	268808.970	2006
10504051	664421.860	273032.490	2006
10504181	663728.310	271328.030	2006
10505101	666279.520	269479.760	2006
10505190	665558.680	267728.560	2006
10506011	668820.650	272754.260	2006
10506191	667931.550	266776.310	2006
10507031	669036.280	268959.890	2006
10508111	671477.730	266105.490	2006
10510121	672844.650	268446.780	2006
10510181	673552.140	267740.280	2006
10510211	672884.600	266476.240	2006
10511010	675714.160	273237.660	2006
10511070	674251.320	268760.060	2006
10511100	675802.970	268625.640	2006
10511180	675742.540	267070.800	2006
10512050	676796.960	272621.740	2006
10512060	677316.830	271917.370	2006
10512090	677946.730	271483.360	2006
10512110	677516.270	270935.540	2006
10512130	677313.740	269337.720	2006
10512250	677043.470	266696.480	2006
10513040	679572.900	276805.560	2006
10513045	679520.960	276841.880	2006
10513060	678144.280	274171.470	2006
10513140	679076.570	272619.190	2006
10513220	678163.510	270985.780	2006
10513310	679694.680	269291.040	2006
10513430	678775.100	267510.960	2006
10513470	678915.650	266686.480	2006
10514030	681804.400	275936.960	2006
10514050	680405.630	275327.660	2006
10514130	680811.760	273638.950	2006
10514220	682053.570	271003.820	2006
10514240	680741.870	270445.970	2006
10514300	681314.060	269539.150	2006
10514410	680126.540	267781.730	2006
10514480	680579.040	266623.820	2006
10515100	682578.250	273708.910	2006
10515110	683793.030	273586.080	2006
10515150	683113.050	272219.820	2006
10515290	683988.090	268585.620	2006
10515340	682088.300	267525.230	2006
10516000	684032.380	270183.550	2006
10516030	684280.580	274898.790	2006
10516120	685163.410	272137.680	2006
10516270	685850.150	268088.620	2006
10516280	684787.130	267639.110	2006
10516330	685445.360	266987.590	2006
10516380	684445.470	266217.290	2006
10516400	685822.050	269240.960	2006
10516410	684091.280	277602.930	2006
10516411	684101.200	277582.760	2006
10517060	687406.530	276977.660	2006
10517132	687387.110	273201.860	2006
10517220	686092.630	270791.840	2006
10517380	687663.410	267781.720	2006
10518210	688910.840	270694.890	2006
10518330	688783.710	268685.280	2006
10520070	690323.770	276403.900	2006
10520200	691179.600	274198.130	2006
10520260	690796.040	272382.290	2006
10521110	692258.460	276136.610	2006
10521300	693682.740	272191.070	2006
10521430	693208.920	269490.300	2006
10521580	692679.670	266811.470	2006
10522070	694430.800	276709.680	2006
10522160	695700.830	274746.800	2006
10522350	695464.770	270427.560	2006
10522500	695301.770	266238.510	2006
10523010	697636.500	277176.050	2006
10523120	696830.610	275478.170	2006
10523250	696783.430	273621.960	2006
10523340	696105.550	271891.570	2006
10523380	697303.090	271060.990	2006
10523460	696273.120	269504.460	2006
10523570	697712.200	267147.420	2006
10524020	699095.470	277469.070	2006
10524100	698203.430	275620.880	2006
10524180	699866.900	273122.320	2006
10524200	698522.890	272971.020	2006
10524230	699931.700	272035.450	2006
10524260	698537.070	271401.870	2006
10524300	698460.270	270384.960	2006
10524320	699991.660	270225.380	2006
10524360	698009.700	269169.010	2006
10524380	699271.680	268841.620	2006
10525070	701207.090	277146.870	2006
10525180	701900.100	275091.340	2006
10525460	701388.180	268938.170	2006
10525540	700522.290	267650.220	2006
10526000	703450.170	276264.070	2006
10526020	702170.430	277005.940	2006
10526170	702748.140	273619.560	2006
10526320	702883.480	270760.290	2006
10526400	703617.140	268785.580	2006
10526440	702203.490	268159.410	2006
10526550	702462.290	266174.060	2006
10527060	705080.060	275948.580	2006
10527180	705243.960	273010.770	2006
10527260	704740.410	270866.890	2006
10528050	707315.120	276492.980	2006
10528200	706933.600	272060.420	2006
10528320	706038.610	268722.950	2006
10530120	707843.580	274169.900	2006
10530450	707921.850	266179.350	2006
10531110	709534.360	276580.340	2006
10531180	710362.660	274418.600	2006
10531330	709740.570	271576.890	2006
10531530	709777.800	268525.920	2006
10532130	712738.940	275808.290	2006
