BUNDESAMT FUER LANDESTOPOGRAFIE SWISSTOPO - DREIECKSVERMASCHUNG CHENyx06
FUER DIE KOORDINATENTRANSFORMATION LV03 <-> LV95 UEBER FINITE ELEMENTE
DREIECKSVERMASCHUNGSDEFINITION:                 STAND DER NACHFUERUNG:  03.2007
AG0001 10678060       10682031       10478590       2006
AG0002 10483031       10478590       10682031       2006
AG0003 10678060       10683120       10682031       2006
AG0004 10683120       10483031       10682031       2006
AG0005 10685040       10483031       10683120       2006
AG0006 10483031       10485071       10484011       2006
AG0007 10483031       10485291       10485071       2006
AG0008 10685040       10485291       10483031       2006
AG0009 10484011       10485071       10487011       2006
AG0010 10485071       10486200       10487011       2006
AG0011 10485071       10485291       10486200       2006
AG0012 10685040       10486200       10485291       2006
AG0013 10685040       10686021       10486200       2006
AG0014 10487011       10487181       10490010       2006
AG0015 10487181       10487011       10486200       2006
AG0016 10686021       10487181       10486200       2006
AG0017 10686021       10686160       10687021       2006
AG0018 10685040       10686160       10686021       2006
AG0020 10487181       10687021       10490077       2006
AG0021 10490077       10687021       10688091       2006
AG0022 10686160       10688091       10687021       2006
AG0023 10687390       10688091       10686160       2006
AG0024 10687390       10690441       10688091       2006
AG0025 10688091       10690441       10691231       2006
AG0026 10688091       10691231       10691101       2006
AG0027 10490077       10688091       10691101       2006
AG0028 10490077       10691101       10691051       2006
AG0029 10487181       10490077       10490010       2006
AG0030 10490010       10490077       10491071       2006
AG0031 10490077       10691051       10491071       2006
AG0032 10491071       10693021       10493057       2006
AG0033 10491071       10691051       10693021       2006
AG0034 10691051       10693111       10693021       2006
AG0035 10691051       10692221       10693111       2006
AG0036 10691051       10691101       10692221       2006
AG0037 10691101       10691231       10692221       2006
AG0038 10690441       10692401       10691231       2006
AG0039 10691231       10692401       10692221       2006
AG0040 10692401       10690441       10691460       2006
AG0041 10690380       10691460       10690441       2006
AG0042 10490010       10491071       10493057       2006
AG0043 10490010       10493057       10494000       2006
AG0044 10493057       10495120       10494000       2006
AG0045 10493057       10693021       10694061       2006
AG0046 10693021       10693111       10694061       2006
AG0047 10493057       10694061       10495120       2006
AG0048 10495120       10694061       10695171       2006
AG0049 10693111       10695171       10694061       2006
AG0050 10692221       10693271       10693111       2006
AG0051 10693111       10693271       10695171       2006
AG0052 10693271       10695291       10695171       2006
AG0053 10695171       10695291       10696391       2006
AG0054 10692221       10692401       10693271       2006
AG0055 10692401       10693340       10693271       2006
AG0056 10693271       10693340       10695381       2006
AG0057 10693271       10695381       10695291       2006
AG0058 10695291       10695381       10696391       2006
AG0059 10695381       10696471       10696391       2006
AG0060 10693340       10695481       10695381       2006
AG0061 10695381       10695481       10696471       2006
AG0062 10695481       10697581       10696471       2006
AG0063 10686021       10687021       10487181       2006
AG0064 10490010       10494000       10499000       2006
AG0100 10900000       10897201       10898311       2006
AG0101 10898431       10900000       10898311       2006
AG0102 10898431       10901351       10900000       2006
AG0103 10902151       10900000       10901351       2006
AG0104 10902151       10901351       10902231       2006
AG0105 10902231       10901351       10902351       2006
AG0106 10902231       10902351       10903261       2006
AG0107 10904181       10905292       10905111       2006
AG0108 10905111       10905292       10906271       2006
AG0109 10906280       10905111       10906271       2006
AG0110 10907401       10906271       10905292       2006
AG0111 10906280       10906271       10907401       2006
AG0112 10906280       10906091       10905111       2006
AG0113 10906280       10907161       10906091       2006
AG0114 10906280       10907401       10908150       2006
AG0115 10906280       10908150       10907161       2006
AG0116 10908150       10907401       10908271       2006
AG0117 10904181       10903261       10905292       2006
AG0118 10900000       10900147       10897201       2006
AG0119 10902151       10900147       10900000       2006
AG0120 10698561       10896063       10897201       2006
AG0121 10900147       10698561       10897201       2006
AG0122 10900147       10700451       10698561       2006
AG0123 10701651       10700451       10900147       2006
AG0124 10701651       10900147       10902071       2006
AG0125 10701651       10701561       10700451       2006
AG0126 10701651       10702610       10701561       2006
AG0127 10701651       10902071       10702610       2006
AG0128 10902071       10703461       10702610       2006
AG0129 10702491       10701561       10702610       2006
AG0130 10702491       10702610       10703461       2006
AG0131 10896063       10698561       10697581       2006
AG0132 10700371       10697581       10698561       2006
AG0133 10700371       10696471       10697581       2006
AG0134 10700371       10698561       10700451       2006
AG0135 10700371       10700451       10701492       2006
AG0136 10700451       10701561       10701492       2006
AG0137 10702491       10701492       10701561       2006
AG0138 10702491       10702281       10701492       2006
AG0139 10702491       10704241       10702281       2006
AG0140 10696471       10700371       10697400       2006
AG0141 10696391       10696471       10697400       2006
AG0142 10696391       10697400       10697211       2006
AG0143 10695171       10696391       10697211       2006
AG0144 10698241       10697211       10697400       2006
AG0145 10698241       10697400       10700371       2006
AG0146 10698241       10700371       10701412       2006
AG0147 10698241       10701412       10700201       2006
AG0148 10700201       10701412       10702281       2006
AG0149 10700201       10702281       10702211       2006
AG0150 10701412       10701492       10702281       2006
AG0151 10700371       10701492       10701412       2006
AG0152 10495120       10695171       10696031       2006
AG0153 10695171       10696000       10696031       2006
AG0154 10695171       10697211       10696000       2006
AG0155 10697021       10696000       10697211       2006
AG0156 10696031       10696000       10697021       2006
AG0157 10700101       10698081       10698241       2006
AG0158 10698241       10697021       10697211       2006
AG0159 10698241       10698081       10697021       2006
AG0160 10494000       10495120       10499010       2006
AG0161 10499010       10495120       10496121       2006
AG0162 10495120       10696031       10496121       2006
AG0163 10496121       10696031       10497221       2006
AG0164 10497221       10696031       10697021       2006
AG0165 10497221       10697021       10498321       2006
AG0166 10498321       10697021       10698081       2006
AG0167 10494000       10499010       10499000       2006
