DR     Y_SCHWERP   X_SCHWERP            a0                a1                a2                b0                b1                b2                w               r               s               t              AZ      m1          m2                RIV         ro          ome         tau         mi         gama
AG0001 620980.6673 265521.8527   1000002.184640899       0.999996824      -0.000001360 1999998.603010690       0.000011405       0.999998392    -0.000006382     0.999996824     0.000005023     0.999998392  54.92862 1.000002691 0.999992524        3.24       -2.39       -4.06       -0.78        5.02        5.08
AG0002 623554.5607 267127.9727   1000004.009683223       0.999992400      -0.000002400 1999996.860619001       0.000015629       0.999999385    -0.000009014     0.999992400     0.000006615     0.999999385  65.46361 1.000003372 0.999988412        4.76       -4.11       -5.74       -3.49        6.61        7.48
AG0003 623348.9167 264277.0767   1000002.484795963       1.000006226      -0.000005846 1999998.488791451       0.000007827       1.000000099    -0.000006836     1.000006226     0.000000990     1.000000099   9.95293 1.000006382 0.999999943        2.05        3.16       -4.35        3.06        0.99        3.22
AG0004 625922.8100 265883.1967   1000006.318161469       1.000002375      -0.000010349 1999995.702738516       0.000010626       1.000003372    -0.000010487     1.000002375     0.000000138     1.000003372  91.36990 1.000003391 1.000002357        0.33        2.87       -6.68       -0.50        0.14        0.52
AG0005 627936.4133 265583.3333   1000008.018632541       1.000003125      -0.000013379 1999991.892393413       0.000008945       1.000010163    -0.000011162     1.000003125    -0.000002217     1.000010163 117.89508 1.000010803 1.000002485        2.65        6.64       -7.11       -3.52       -2.22        4.16
AG0006 628902.6233 269654.9467   1000005.363123217       1.000009422      -0.000011843 1999994.307207925       0.000011084       1.000005399    -0.000011463     1.000009422    -0.000000380     1.000005399 194.06063 1.000009458 1.000005364        1.30        7.41       -7.30        2.01       -0.38        2.05
AG0007 629388.8500 268465.6300   1000008.622082885       0.999985024      -0.000006593 1999995.237243232       0.000004121       1.000006898    -0.000005357     0.999985024    -0.000001236     1.000006898 103.58130 1.000006967 0.999984955        7.01       -4.04       -3.41      -10.94       -1.24       11.01
AG0008 629234.9967 267011.5100    999991.135449862       1.000017116       0.000007535 1999993.198143071       0.000007863       1.000008545    -0.000000164     1.000017116     0.000007699     1.000008545  33.83258 1.000021642 1.000004019        5.61       12.83       -0.10        4.29        7.70        8.81
AG0009 631194.1233 270591.6100   1000004.045306626       1.000010915      -0.000010390 1999992.282179472       0.000013377       1.000007632    -0.000011884     1.000010915     0.000001493     1.000007632  23.49712 1.000011492 1.000007054        1.41        9.27       -7.57        1.64        1.49        2.22
AG0010 632407.2500 269265.1500   1000003.301310770       1.000001665      -0.000005260 1999992.041589446       0.000010386       1.000009291    -0.000007823     1.000001665     0.000002563     1.000009291  81.16160 1.000010072 1.000000884        2.92        5.48       -4.98       -3.81        2.56        4.59
AG0011 630968.1667 267953.2333   1000017.089251384       0.999988376      -0.000021453 1999997.579654187       0.000005048       1.000002787    -0.000013251     0.999988376    -0.000008202     1.000002787 127.05631 1.000006499 0.999984664        6.95       -4.42       -8.44       -7.21       -8.20       10.92
AG0012 630814.3133 266499.1133   1000005.760311217       1.000017696      -0.000015921 1999996.442279094       0.000007992       1.000003342    -0.000011956     1.000017696    -0.000003965     1.000003342 183.93483 1.000018718 1.000002320        5.22       10.52       -7.61        7.18       -3.96        8.20
AG0013 631805.6667 265975.0433   1000001.754110941       1.000006234      -0.000004744 1999998.316763222       0.000013355       0.999998112    -0.000009049     1.000006234     0.000004306     0.999998112  25.93012 1.000008092 0.999996254        3.77        2.17       -5.76        4.06        4.31        5.92
AG0014 635835.3333 271556.2733   1000007.220105774       1.000009376      -0.000014736 1999988.951514496       0.000016239       1.000011657    -0.000015487     1.000009376     0.000000751     1.000011657  81.46010 1.000011883 1.000009150        0.87       10.52       -9.86       -1.14        0.75        1.37
AG0015 634023.0067 268946.9067   1000009.990501098       1.000008227      -0.000018612 1999995.317605349       0.000013600       1.000002752    -0.000016106     1.000008227    -0.000002506     1.000002752 176.40458 1.000009201 1.000001778        2.36        5.49      -10.25        2.74       -2.51        3.71
AG0016 633575.2767 267110.9200   1000010.131831697       0.999999207      -0.000015025 1999995.281523878       0.000015901       1.000001837    -0.000015463     0.999999207     0.000000438     1.000001837  89.76522 1.000001908 0.999999136        0.88        0.52       -9.84       -1.31        0.44        1.39
AG0017 633852.2167 264928.6900   1000008.035639400       1.000012372      -0.000017244 1999990.462451191      -0.000004219       1.000017901    -0.000006512     1.000012372    -0.000010732     1.000017901 141.97563 1.000026218 1.000004055        7.05       15.14       -4.15       -2.76      -10.73       11.08
AG0018 631934.5300 264617.8300   1000001.516232091       1.000010844      -0.000006304 1999999.119056851      -0.000002189       1.000003374    -0.000002057     1.000010844    -0.000004247     1.000003374 172.96150 1.000012764 1.000001454        3.60        7.11       -1.31        3.73       -4.25        5.66
AG0020 636632.0033 266740.7100   1000003.911109862       1.000003578      -0.000007080 2000002.460019176      -0.000003087       0.999998557    -0.000001996     1.000003578    -0.000005083     0.999998557 164.60053 1.000006737 0.999995398        3.61        1.07       -1.27        2.51       -5.08        5.67
AG0021 637031.9900 265218.8100   1000003.298871262       1.000006444      -0.000007315 2000000.836329166       0.000004514       0.999997933    -0.000005915     1.000006444    -0.000001400     0.999997933 189.88065 1.000006668 0.999997708        2.85        2.19       -3.77        4.26       -1.40        4.48
AG0022 635009.0333 264199.8133   1000005.828371005       1.000005195      -0.000010771 1999994.161802523       0.000007811       1.000007052    -0.000009291     1.000005195    -0.000001480     1.000007052 132.16111 1.000007871 1.000004376        1.11        6.12       -5.91       -0.93       -1.48        1.75
AG0023 635017.6600 262029.1100   1000004.074301120       1.000017305      -0.000013033 1999994.489067159       0.000005551       1.000007474    -0.000009292     1.000017305    -0.000003741     1.000007474 179.29144 1.000018567 1.000006213        3.93       12.39       -5.92        4.92       -3.74        6.18
AG0024 636902.6400 260778.5033    999991.437574347       1.000013787       0.000008276 1999998.127261652       0.000006564       1.000001339     0.000000856     1.000013787     0.000007420     1.000001339  27.78313 1.000017248 0.999997879        6.17        7.56        0.54        6.22        7.42        9.68
AG0025 638198.0633 261364.9267    999997.588887672       1.000010492      -0.000000022 1999990.976832186       0.000010395       1.000010985    -0.000005208     1.000010492     0.000005187     1.000010985  51.51269 1.000015931 1.000005546        3.31       10.74       -3.32       -0.25        5.19        5.19
AG0026 638746.8600 262850.1000   1000004.208863049       1.000002223      -0.000006996 2000000.023485219      -0.000000905       1.000001455    -0.000003046     1.000002223    -0.000003950     1.000001455 153.08563 1.000005808 0.999997870        2.53        1.84       -1.94        0.38       -3.95        3.97
AG0027 638425.2700 264515.0833   1000003.165682202       1.000006122      -0.000006972 1999999.462142873       0.000001193       1.000001467    -0.000004083     1.000006122    -0.000002889     1.000001467 171.58274 1.000007505 1.000000085        2.36        3.79       -2.60        2.33       -2.89        3.71
AG0028 639805.4333 264843.1300   1000000.132082340       1.000008164      -0.000003074 1999992.730565941       0.000005724       1.000010119    -0.000004399     1.000008164     0.000001325     1.000010119  70.22838 1.000010788 1.000007495        1.05        9.14       -2.80       -0.98        1.33        1.65
AG0029 637274.9700 269768.9967   1000002.217910964       1.000006044      -0.000005456 1999989.115549474       0.000016348       1.000011353    -0.000010902     1.000006044     0.000005446     1.000011353  64.43623 1.000014757 1.000002640        3.86        8.70       -6.94       -2.65        5.45        6.06
AG0030 639090.1000 269393.1633    999999.294793882       1.000006547      -0.000001089 1999992.610628630       0.000015747       1.000006132    -0.000008418     1.000006547     0.000007329     1.000006132  49.09853 1.000013671 0.999999007        4.67        6.34       -5.36        0.21        7.33        7.33
AG0031 640079.2067 265996.0400    999999.490858354       1.000009069      -0.000002447 1999991.920549179       0.000006868       1.000010910    -0.000004658     1.000009069     0.000002211     1.000010910  62.55936 1.000012385 1.000007595        1.52        9.99       -2.97       -0.92        2.21        2.39
AG0032 643331.4433 266446.8967   1000015.878582838       0.999983968      -0.000017555 1999997.941407652       0.000000422       1.000004203    -0.000008988     0.999983968    -0.000008567     1.000004203 122.36403 1.000007342 0.999980828        8.44       -5.91       -5.72      -10.12       -8.57       13.26
AG0033 641924.5933 265862.7600   1000002.121853917       1.000009248      -0.000006627 1999994.343720485       0.000007033       1.000007060    -0.000006830     1.000009248     0.000000203     1.000007060   5.83332 1.000009267 1.000007042        0.71        8.15       -4.35        1.09        0.20        1.11
AG0034 642983.0333 264727.0467   1000002.046178629       1.000010043      -0.000006837 1999993.744221694       0.000013325       1.000005396    -0.000010081     1.000010043     0.000003244     1.000005396  30.21650 1.000011709 1.000003729        2.54        7.72       -6.42        2.32        3.24        3.99
AG0035 642213.9467 263379.8667   1000006.489232691       1.000000188      -0.000009701 1999997.109077128       0.000005863       1.000003228    -0.000007782     1.000000188    -0.000001919     1.000003228 128.68041 1.000004156 0.999999260        1.56        1.71       -4.95       -1.52       -1.92        2.45
AG0036 640881.7333 263362.6700    999998.033708479       1.000004853       0.000001570 1999993.929660107       0.000007617       1.000007465    -0.000003023     1.000004853     0.000004593     1.000007465  58.81872 1.000010934 1.000001384        3.04        6.16       -1.92       -1.31        4.59        4.78
AG0037 640553.7100 262147.2267   1000000.984673952       1.000001690      -0.000001738 2000001.632421861      -0.000000639       0.999998831    -0.000000550     1.000001690    -0.000001188     0.999998831 177.92351 1.000002120 0.999998402        1.18        0.26       -0.35        1.43       -1.19        1.86
AG0038 640220.0800 259366.7433    999999.046184458       1.000013002      -0.000003325 1999990.435476530       0.000009462       1.000012212    -0.000006393     1.000013002     0.000003069     1.000012212  45.92551 1.000015701 1.000009513        1.97       12.61       -4.07        0.39        3.07        3.09
AG0039 641434.3567 260155.8867    999999.889477290       1.000012153      -0.000004296 2000001.768973317      -0.000001943       0.999999150    -0.000001177     1.000012153    -0.000003120     0.999999150 185.75999 1.000012863 0.999998440        4.59        5.65       -0.75        6.50       -3.12        7.21
AG0040 640367.5000 257362.8667   1000000.225318611       1.000010572      -0.000004185 1999988.862417582       0.000012704       1.000013360    -0.000008444     1.000010572     0.000004259     1.000013360  60.06582 1.000016448 1.000007484        2.85       11.97       -5.38       -1.39        4.26        4.48
AG0041 639076.9000 256634.5400    999993.851079133       1.000014255       0.000004305 1999994.845650791       0.000009247       1.000005390    -0.000002471     1.000014255     0.000006776     1.000005390  31.56118 1.000017920 1.000001726        5.15        9.82       -1.57        4.43        6.78        8.10
